"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP14781",472.925211974124,472.924819946289,472.925277709961,26.3441963195801,24.0290786725532,27.7019081115723,313305.777539796,NA,275903.375,NA,3,1
"CP14782",474.913600047399,474.913375854492,474.913772583008,26.3441963195801,24.025730511,27.4476890563965,148106.091234786,NA,144552.140625,NA,3,1
"CP14783",475.914795178373,475.914535522461,475.915405273438,26.3441963195801,24.0290786725532,27.4342607317686,131364.959848172,NA,63932.22265625,NA,3,1
"CP14784",475.828986877243,475.828552246094,475.829193115234,422.219451904297,418.797698974609,424.639389038086,124002.886091689,NA,24087.25,NA,3,1
"CP14785",477.172458924386,477.172302246094,477.172729492188,179.33625793457,177.57837166302,181.13043263898,84663.9290652957,NA,39732.95703125,NA,3,1
"CP14786",477.912411842948,477.911804199219,477.913208007812,26.3441963195801,24.0324268341064,27.4366111755371,31430.3300455756,NA,21685.33203125,NA,3,1
"CP14787",479.053894042969,479.053558349609,479.054412841797,226.686431884766,225.921081542969,228.88264465332,6456.35363421589,NA,8720.197265625,NA,3,1
"CP14788",479.870269042668,479.868530273438,479.876312255859,27.5113945007324,23.9387893676758,28.4628219604492,55779.5628735232,NA,25543.658203125,NA,3,1
"CP14789",480.793973050682,480.793792724609,480.794052124023,0.824543595314026,0.336072236299515,10.178973197937,222247.315223071,NA,132116.515625,NA,3,1
"CP14790",480.870147705078,480.868118286133,480.870758056641,25.7742881774902,24.0362701416016,27.4715280532837,17714.6132597379,NA,25783.52734375,NA,3,1
"CP14791",481.792179602512,481.792053222656,481.792388916016,1.98671448230743,0.336072236299515,8.18634414672852,147742.740513414,NA,65460.375,NA,3,1
"CP14792",484.2080078125,484.207595825195,484.208129882812,292.661437988281,291.429351806641,294.950454711914,28044.9464406014,NA,39824.09375,NA,3,1
"CP14793",486.231596376768,486.231338500977,486.231857299805,319.455108642578,317.873016357422,321.972732543945,60590.9279620449,NA,26688.51171875,NA,3,1
"CP14794",487.846568797655,487.846435546875,487.846801757812,30.9462776184082,30.0039379617246,33.4566974639893,100700.702983709,NA,67333.3125,NA,3,1
"CP14795",488.902886418938,488.901702880859,488.905960083008,26.3441963195801,22.8767850672388,27.4453386126279,293205.15974829,NA,247884.703125,NA,3,1
"CP14796",491.802211670435,491.801879882812,491.802429199219,31.5309028625488,29.709116463,35.4952278137207,239413.299604867,NA,161116.84375,NA,3,1
"CP14797",491.892276580121,491.891815185547,491.892761230469,26.3441963195801,24.0324268341064,27.431910288,116851.732846211,NA,71952.0078125,NA,3,1
"CP14798",492.799380634643,492.798782348633,492.799697875977,31.5309028625488,29.7695417404175,35.2534122467041,182505.087199173,NA,143330.09375,NA,3,1
"CP14799",493.798726461273,493.798248291016,493.798889160156,32.1067657470703,29.7892322540283,34.424861907959,14106.4528830649,NA,14211.6376953125,NA,3,1
"CP14800",494.845665623735,494.844711303711,494.84619140625,26.3441963195801,23.9856081008911,27.4342607317686,220639.196651533,NA,189361.34375,NA,3,1
"CP14801",495.847905628477,495.84619140625,495.848617553711,26.3441963195801,24.5893831253052,28.0033044815063,40684.1482122458,NA,27267.693359375,NA,3,1
"CP14802",498.286860539207,498.286651611328,498.287017822266,413.543487548828,411.947448730469,416.608367919922,73084.0660052981,NA,48481.125,NA,3,1
"CP14803",499.860545611254,499.860076904297,499.86083984375,26.3441963195801,23.9947643280029,27.389627456665,303850.309949514,NA,229734.21875,NA,3,1
"CP14804",502.797594160522,502.797546386719,502.797760009766,4.24325513839722,0.819552540779114,11.5358076095581,116321.620872073,NA,75373.0859375,NA,3,1
"CP14805",505.245469301733,505.244964599609,505.24560546875,272.080352783203,269.840057373047,272.787536621094,23143.2091171816,NA,21742.125,NA,3,1
"CP14806",507.870569164952,507.869873046875,507.873764038086,26.3441963195801,25.7494401931763,29.1870718002319,41130.5041537952,NA,31468.681640625,NA,3,1
"CP14807",509.812674890252,509.812164306641,509.812957763672,31.5309028625488,29.2799396514893,33.7684326171875,41131.9241877273,NA,32495.857421875,NA,3,1
"CP14808",510.831131449324,510.830993652344,510.831237792969,3.67981815338135,0.336072236299515,9.86090755462646,152725.696351903,NA,48582.53125,NA,3,1
"CP14809",514.904644546117,514.903747558594,514.90576171875,25.2058544158936,24.0401134490967,27.5426197052002,15098.498676997,NA,10052.5185546875,NA,3,1
"CP14810",515.83811163304,515.837982177734,515.839080810547,26.3441963195801,24.329367826606,27.746734982562,125976.685494657,NA,161426.15625,NA,3,1
"CP14811",517.899133044583,517.898742675781,517.899230957031,26.3441963195801,24.025730511,27.431910288,731000.486761142,NA,623316.3125,NA,3,1
"CP14812",518.894903241355,518.894470214844,518.895141601562,26.9458618164062,24.3136476005432,27.7203138037686,359235.165463144,NA,216868.921875,NA,3,1
"CP14813",520.906127929688,520.905700683594,520.906372070312,599.244750976562,595.26586216002,599.244750976562,1221813.96759911,NA,1842445,NA,3,1
"CP14814",520.907056645829,520.906799316406,520.907135009766,514.601684570312,504.771667480469,515.071319580078,11342256.9138813,NA,2361811.25,NA,3,1
"CP14815",520.907196413823,520.906982421875,520.907287597656,499.912689208984,493.460113525391,500.665557861328,10168167.4747814,NA,1794794.25,NA,3,1
"CP14816",526.856000531189,526.852600097656,526.856781005859,29.2318382263184,27.176983833313,31.2170600891113,46064.9599896446,NA,21632.26953125,NA,3,1
"CP14817",528.80323530722,528.803039550781,528.803588867188,31.5309028625488,30.2987594604492,34.3432998657227,75512.6976773689,NA,57098.4765625,NA,3,1
"CP14818",530.792316772194,530.792083740234,530.79248046875,4.24325513839722,0.822885453701019,11.8849768638611,386936.398618505,NA,70700.046875,NA,3,1
"CP14819",530.883202252592,530.882873535156,530.883575439453,25.7742881774902,24.614596555854,28.032788054562,15569.2851229918,NA,10231.197265625,NA,3,1
"CP14820",531.872208920794,531.872192382812,531.872375488281,25.7742881774902,24.025730511,27.431910288,34438.2957269799,NA,36855.00390625,NA,3,1
"CP14821",535.133694609592,535.13330078125,535.134033203125,160.510314941406,156.850677490234,163.378036499023,32312.1854645826,NA,9669.3642578125,NA,3,1
"CP14822",537.094608309461,537.094360351562,537.094787597656,524.405578613281,523.438781738281,530.538818359375,185784.715587237,NA,65698.0546875,NA,3,1
"CP14823",538.097961425781,538.096710205078,538.098236083984,525.56396484375,524.974801608625,529.074014668563,7909.04489604235,NA,9647.0283203125,NA,3,1
"CP14824",540.821119741308,540.820892333984,540.8212890625,3.67981815338135,0.336072236299515,13.8342709541321,1614679.86811933,NA,289893.875,NA,3,1
"CP14825",547.786467280939,547.786254882812,547.786865234375,31.5309028625488,30.8768119812012,33.7684326171875,31408.8066448318,NA,18201.640625,NA,3,1
"CP14826",547.811186473625,547.810974121094,547.811340332031,411.807708740234,410.291290283203,413.31396484375,14728.2363916561,NA,10150.8818359375,NA,3,1
"CP14827",547.813403675996,547.813201904297,547.813598632812,31.5309028625488,30.3241529464722,34.367603302002,92673.3299839512,NA,57951.83203125,NA,3,1
"CP14828",548.850976916953,548.847229003906,548.852325439453,26.3441963195801,24.329367826606,27.6879510879517,451705.203878079,NA,341639.8125,NA,3,1
"CP14829",549.848261616137,549.845336914062,549.850524902344,26.3441963195801,24.2950174314033,27.6995576678037,148379.636261676,NA,113220.2265625,NA,3,1
"CP14830",550.77663711436,550.776550292969,550.776733398438,0.824543595314026,0.336072236299515,6.51832372698,97983.3290724495,NA,69806.5390625,NA,3,1
"CP14831",552.723908588583,552.723754882812,552.723999023438,0.824543595314026,0.336072236299515,9.86457347869873,374403.17366705,NA,179369.71875,NA,3,1
"CP14832",553.722137879507,553.721801757812,553.722351074219,1.42401695251465,0.336072236299515,7.08032203098,208775.182017694,NA,79222.328125,NA,3,1
"CP14833",553.765520805953,553.764709472656,553.765563964844,30.9462776184082,29.8495101928711,35.0812911987305,17810.6347189285,NA,19257.94921875,NA,3,1
"CP14834",554.719205454878,554.718933105469,554.719421386719,0.824543595314026,0.336072236299515,3.65399980545044,1512874.87380547,NA,695697.9375,NA,3,1
"CP14835",554.83154296875,554.8251953125,554.831787109375,25.7742881774902,24.0401134490967,26.8907833099365,4769.38677410688,NA,6692.30322265625,NA,3,1
"CP14836",556.224567311725,556.224060058594,556.224731445312,441.629425048828,438.888031005859,442.453918457031,85681.3331145287,NA,41856.96875,NA,3,1
"CP14837",556.877607547368,556.875732421875,556.878387451172,26.3441963195801,24.2472505569458,28.2158699035645,102471.130276112,NA,76284.0078125,NA,3,1
"CP14838",558.908386230469,558.907592773438,558.908569335938,28.0856666564941,27.4366111755371,30.2987594604492,15989.3047465943,NA,12976.1728515625,NA,3,1
"CP14839",559.785202856143,559.784545898438,559.785766601562,470.834503173828,465.615203857422,471.550079345703,33816.4047080874,NA,12250.388671875,NA,3,1
"CP14840",560.839320625662,560.838775634766,560.839904785156,26.3441963195801,24.0290786725532,27.4342607317686,192171.997533305,NA,93801.5234375,NA,3,1
"CP14841",562.800220772989,562.7998046875,562.800964355469,31.5309028625488,30.8768119812012,34.3432998657227,46790.1450019114,NA,36626.84375,NA,3,1
"CP14842",562.821530682818,562.821105957031,562.821716308594,25.2058544158936,24.0324268341064,27.431910288,61788.2118481883,NA,46377.5703125,NA,3,1
"CP14843",563.022776137634,563.021118164062,563.023071289062,219.699920654297,218.546768188477,221.509841918945,51614.6226329952,NA,50960.23828125,NA,3,1
"CP14844",563.822875976562,563.822692871094,563.823181152344,25.7742881774902,24.0324268341064,26.8663024902344,12532.6158323437,NA,17689.71875,NA,3,1
"CP14845",565.830752453593,565.830047607422,565.8310546875,479.150848388672,474.802551269531,481.602401733398,15942.4090858718,NA,9615.998046875,NA,3,1
"CP14846",569.85038213942,569.849456787109,569.850799560547,28.0856666564941,26.5609661755246,30.2636201785317,103941.043468289,NA,41184.52734375,NA,3,1
"CP14847",579.873291015625,579.872924804688,579.873291015625,29.2318382263184,27.3143424987793,30.1618537902832,6447.02209025063,NA,9056.3603515625,NA,3,1
"CP14848",580.813669526192,580.8134765625,580.813781738281,3.67981815338135,0.813787579536438,5.89792060852051,458233.366679911,NA,142822.796875,NA,3,1
"CP14849",583.884094238281,583.8837890625,583.884582519531,28.0856666564941,26.9643402099609,30.9296627044678,34242.4866389662,NA,43177.4296875,NA,3,1
"CP14850",585.339619056061,585.339416503906,585.339904785156,569.959350585938,569.77566543102,576.23499866349,218180.116905456,NA,51470.640625,NA,3,1
"CP14851",585.339285623069,585.338989257812,585.339416503906,587.10205078125,580.92453523302,587.23869172698,85015.9266630937,NA,34668.31640625,NA,3,1
"CP14852",585.339788699291,585.339599609375,585.339904785156,558.962829589844,558.44847817698,564.43998664002,331599.333757049,NA,130213.4765625,NA,3,1
"CP14853",585.339289371564,585.338684082031,585.339538574219,592.388793945312,591.79430782398,596.38498913598,61117.9869737953,NA,25630.974609375,NA,3,1
"CP14854",586.904715731651,586.902221679688,586.905944824219,26.3441963195801,24.4997367858887,29.0299034118652,76974.6880445321,NA,39132.62890625,NA,3,1
"CP14855",592.854093053929,592.853393554688,592.854736328125,26.3441963195801,23.9856081008911,27.3754768371582,114027.284304868,NA,122827.578125,NA,3,1
"CP14856",593.856463850189,593.85498046875,593.856994628906,25.7742881774902,24.59486836698,27.431910288,40128.2617043551,NA,22955.9765625,NA,3,1
"CP14857",597.774633492584,597.774291992188,597.774780273438,30.9462776184082,29.7289543151855,34.3432998657227,52243.6949973,NA,64571.44921875,NA,3,1
"CP14858",598.771888620009,598.770874023438,598.772277832031,30.9462776184082,29.7892322540283,33.8462066650391,76202.9567715199,NA,58807.05859375,NA,3,1
"CP14859",598.998718261719,598.998474121094,598.999114990234,261.496887207031,260.013519287109,263.845977783203,21290.8983143091,NA,27777.076171875,NA,3,1
"CP14860",599.857688361628,599.856384277344,599.857971191406,28.0856666564941,27.5426197052002,31.0208740234375,26125.6413491501,NA,17216.373046875,NA,3,1
"CP14861",601.851806640625,601.851623535156,601.852111816406,28.0856666564941,26.8234996795654,30.3495464324951,14055.7603407085,NA,19931.330078125,NA,3,1
"CP14862",602.883440239567,602.881164550781,602.884033203125,26.3441963195801,24.0324268341064,27.4366111755371,203147.772319339,NA,162619.359375,NA,3,1
"CP14863",605.236450195312,605.236206054688,605.236694335938,332.416809082031,330.340972900391,333.855651855469,20746.1476391554,NA,29513.57421875,NA,3,1
"CP14864",605.756268367159,605.755706787109,605.75634765625,32.6905212402344,31.1851615905762,36.3842544555664,20343.6721263919,NA,16847.521484375,NA,3,1
"CP14865",608.77737772263,608.776306152344,608.778076171875,31.5309028625488,30.2987594604492,34.9172668457031,29634.3394964955,NA,16800.330078125,NA,3,1
"CP14866",608.808512188298,608.808410644531,608.808654785156,3.67981815338135,0.822923064231873,11.6056127548218,271006.520184824,NA,73977.140625,NA,3,1
"CP14867",612.83659646582,612.835876464844,612.839599609375,28.0856666564941,26.8907833099365,30.915376663208,121475.675465136,NA,71402.140625,NA,3,1
"CP14868",614.840483674434,614.840209960938,614.840881347656,26.3441963195801,24.025730511,27.431910288,448465.51155271,NA,330617.84375,NA,3,1
"CP14869",615.841244075038,615.840759277344,615.843872070312,26.3441963195801,24.4997367858887,28.0150718688965,232428.454738343,NA,190344.734375,NA,3,1
"CP14870",616.838713229152,616.837432861328,616.840087890625,26.3441963195801,24.6065273284912,28.0504817962646,202512.443800354,NA,137947.625,NA,3,1
"CP14871",618.860688151813,618.859008789062,618.861022949219,26.9458618164062,24.6330051422119,27.4842891693115,96451.1839238741,NA,100488.71875,NA,3,1
"CP14872",620.7111987481,620.711059570312,620.711730957031,0.824543595314026,0.336072236299515,3.65399980545044,96681.3156568128,NA,31423.408203125,NA,3,1
"CP14873",622.706563836366,622.706481933594,622.706604003906,1.98671448230743,0.336072236299515,10.4192161560059,213560.074781997,NA,118478.1328125,NA,3,1
"CP14874",623.766357421875,623.766204833984,623.766693115234,32.6905212402344,30.9488430023193,34.4225769042969,6840.54617268266,NA,7876.8798828125,NA,3,1
"CP14875",624.211634239012,624.211608886719,624.212341308594,441.030059814453,439.454651823,443.61281171202,40123.5450994769,NA,44632.30078125,NA,3,1
"CP14876",626.782590010909,626.777282714844,626.788818359375,30.3672676086426,29.1894817352295,33.2251396179199,82426.3262820106,NA,62597.62109375,NA,3,1
"CP14877",629.817931578429,629.809814453125,629.818725585938,26.3441963195801,23.9387893676758,27.3143424987793,132198.321435934,NA,124493.5390625,NA,3,1
"CP14878",630.877572867558,630.869995117188,630.878326416016,26.3441963195801,24.6065273284912,28.3164196014404,62165.4952114734,NA,66145.421875,NA,3,1
"CP14879",631.81902403328,631.818298339844,631.820739746094,26.3441963195801,24.5473025764343,27.9479062720303,162617.29379886,NA,132044.703125,NA,3,1
"CP14880",632.875853238361,632.875183105469,632.88134765625,26.3441963195801,24.59486836698,28.004016432,38992.1549642386,NA,29416.357421875,NA,3,1
"CP14881",635.232359019745,635.231872558594,635.233825683594,267.955383300781,267.031433105469,270.864181518555,27704.634886232,NA,15095.4501953125,NA,3,1
"CP14882",637.838221799172,637.836700439453,637.839111328125,28.0856666564941,27.3993158340454,30.9225196838379,74327.9657122823,NA,27619.873046875,NA,3,1
"CP14883",644.850397561987,644.849548339844,644.851898193359,27.5113945007324,24.6046651328919,28.5967677224922,124910.749731405,NA,101449.234375,NA,3,1
"CP14884",645.852750173845,645.8505859375,645.853271484375,25.7742881774902,24.5967305625794,28.0095441504482,19383.3054038446,NA,19468.400390625,NA,3,1
"CP14885",646.856685467,646.854675292969,646.857360839844,29.2318382263184,26.8234996795654,30.832160949707,242024.985931156,NA,85385.109375,NA,3,1
"CP14886",647.856392155081,647.854705810547,647.858276367188,26.3441963195801,24.4997367858887,27.3143424987793,43540.27233468,NA,32019.044921875,NA,3,1
"CP14887",650.864122145885,650.863647460938,650.864379882812,462.466888427734,458.945404052734,463.088531494141,53638.7472180724,NA,23535.9140625,NA,3,1
"CP14888",650.864222045182,650.863708496094,650.864990234375,474.406402587891,469.058349609375,474.445922851562,124028.563960344,NA,25699.03515625,NA,3,1
"CP14889",651.871269493628,651.870513916016,651.871673583984,28.662576675415,27.2022043881101,30.3531434939614,23851.5085873515,NA,17539.046875,NA,3,1
"CP14890",656.88111022988,656.880981445312,656.881408691406,511.706359863281,506.465759277344,512.366149902344,1751931.13873291,NA,514911.59375,NA,3,1
"CP14891",659.893378106134,659.891296386719,659.894287109375,28.662576675415,26.8234996795654,30.2478885650635,32241.2447027534,NA,14915.70703125,NA,3,1
"CP14892",660.829189210988,660.82421875,660.830108642578,26.3441963195801,24.6157989501953,28.6147928237915,53297.2964020067,NA,50869.76171875,NA,3,1
"CP14893",661.830191543842,661.829223632812,661.832092285156,26.3441963195801,24.4997367858887,27.3143424987793,31867.8035288975,NA,30156.6328125,NA,3,1
"CP14894",662.829424852524,662.827545166016,662.832214355469,29.793493270874,26.2221002578735,29.9195556640625,31996.9264858841,NA,18448.986328125,NA,3,1
"CP14895",667.844561333847,667.844116210938,667.850402832031,27.5113945007324,27.431910288,30.279351792,13229.4085720817,NA,9836.458984375,NA,3,1
"CP14896",670.702605408864,670.701873779297,670.703338623047,30.9462776184082,30.0995283126831,34.1582794189453,40745.7455438205,NA,26226.794921875,NA,3,1
"CP14897",670.857055664062,670.848510742188,670.857727050781,26.3441963195801,24.6330051422119,28.061559677124,21623.3845256269,NA,31534.2578125,NA,3,1
"CP14898",672.700389494468,672.698974609375,672.700561523438,30.9462776184082,30.4269351959229,35.0812911987305,13264.5535837359,NA,11784.916015625,NA,3,1
"CP14899",673.068412258329,673.068237304688,673.068603515625,526.160278320312,524.70849609375,532.2421875,135009.349381804,NA,77659.578125,NA,3,1
"CP14900",674.071860068915,674.071533203125,674.072265625,525.56396484375,525.221740722656,529.346923828125,19177.4021961987,NA,14770.109375,NA,3,1
"CP14901",674.859893185773,674.857452392578,674.86669921875,29.2318382263184,26.8640457806272,30.5780818866006,149999.188479627,NA,102002.09375,NA,3,1
"CP14902",676.835571289062,676.834838867188,676.836303710938,25.2058544158936,23.9947643280029,26.8234996795654,6268.14466542006,NA,8863.529296875,NA,3,1
"CP14903",678.807999179087,678.805419921875,678.809875488281,26.3441963195801,24.5985927581787,27.4366111755371,45677.8149678055,NA,55522.44921875,NA,3,1
"CP14904",679.824890136719,679.824279785156,679.825134277344,27.5113945007324,26.8234996795654,29.6772575378418,8815.43847423652,NA,12356.2529296875,NA,3,1
"CP14905",680.8692240504,680.868896484375,680.869445800781,28.662576675415,27.389627456665,30.2987594604492,47598.7370152608,NA,31906.896484375,NA,3,1
"CP14906",683.733032226562,683.732849121094,683.733612060547,33.2692642211914,30.9032373428345,34.6580047607422,9050.09072892958,NA,14461.759765625,NA,3,1
"CP14907",685.730573208804,685.730163574219,685.730895996094,31.5309028625488,30.8768119812012,33.7684326171875,32341.1841630787,NA,26231.2578125,NA,3,1
"CP14908",687.870557811612,687.869567871094,687.87109375,28.662576675415,27.4366111755371,30.2987594604492,29301.2535482878,NA,20545.02734375,NA,3,1
"CP14909",689.713371230537,689.712890625,689.713745117188,30.9462776184082,29.7289543151855,33.1876754760742,20131.9533092029,NA,16436.794921875,NA,3,1
