"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"1",102.988441467126,102.956570440809,102.988531743358,26.2863788604736,26.2336883544922,30.2139949798584,5,1,2,1241377.95899164,1260839.31025935,195646.250571816,"[1][M]-","[M-2H+Na]- 82.016","1"
"2",102.932154455667,102.932151272284,102.93215763905,256.745559692383,254.675537109375,258.815582275391,2,1,0,766646.539727335,596291.530167112,557136.556609392,"","","95"
"3",102.932111280328,102.931980830676,102.932362070772,307.647094726562,301.922760009766,313.550506591797,3,1,0,523149.452615597,440445.073418617,471706.351643562,"","","120"
"4",102.931561142775,102.931561142775,102.931561142775,590.027404785156,590.027404785156,590.027404785156,1,1,0,79175.2495939954,6408.18212752938,17914.2053206638,"","","250"
"5",102.955869167578,102.955869167578,102.955869167578,570.773555232,570.773555232,570.773555232,1,0,1,63122.9023974314,87128.9134574682,74222.1801069209,"","","256"
"6",102.932071454445,102.932071454445,102.932071454445,285.417114257812,285.417114257812,285.417114257812,1,1,0,865225.83951277,695827.105606321,669559.422495577,"","","110"
"7",102.932121748165,102.932121748165,102.932121748165,434.167114257812,434.167114257812,434.167114257812,1,1,0,162357.436891316,118463.304997606,113405.055234909,"","","75"
"8",103.989297544088,103.989297544088,103.989297544088,26.2336883544922,26.2336883544922,26.2336883544922,1,1,0,140935.858123565,122258.070662878,4761.53413255513,"[1][M+1]-","","1"
"9",105.016986295991,105.016917455744,105.019012384972,34.6511477429307,34.2283477783203,38.4356002807617,4,1,2,94021.7796600596,63338.7903219957,70832.9756770093,"","[M-H]- 106.024","2"
"10",104.985985315851,104.985922280364,104.986048351338,26.2600336074829,26.2336883544922,26.2863788604736,2,1,1,171768.599922036,178128.852650683,27843.9123334637,"[1][M+2]-","","1"
"11",106.992827909939,106.992761785191,106.992850720091,25.1456775665283,25.1053199768066,25.72179448002,3,1,2,702631.687737737,508841.521905989,526488.962730706,"","","1"
"12",115.003345384284,115.003345384284,115.003345384284,58.7128105163574,58.7128105163574,58.7128105163574,1,1,0,144992.70058269,20324.1283989724,418120.626427063,"","","130"
"13",115.989243225202,115.989243225202,115.989243225202,26.28591222402,26.28591222402,26.28591222402,1,0,1,40330.9916633118,124798.810934878,27236.644566856,"","","1"
"14",117.019523726568,117.019492365749,117.019524229292,210.473983764648,209.790588378906,210.94488379302,3,1,2,323187.653733035,267740.949597601,315016.901785869,"","","100"
"15",116.986036989178,116.986018261664,116.986055716692,26.2598002892561,26.2336883544922,26.28591222402,2,1,1,107133.139334179,129352.908268928,20056.20427723,"","[M+Cl]- 82.016","1"
"16",117.018953121543,117.018953121543,117.018953121543,76.2530059814453,76.2530059814453,76.2530059814453,1,0,1,10816.182178136,116239.290269762,458123.256761537,"","","106"
"17",118.966055397138,118.966018631243,118.992663553725,26.2336883544922,25.1456775665283,26.854651584,3,1,2,369745.026652479,326250.659732152,160173.558687621,"","[M-2H+K]- 82.016","1"
"18",118.931685897871,118.931685897871,118.931685897871,239.30719110402,239.30719110402,239.30719110402,1,0,1,54875.6046667783,64463.8105920476,58986.0982636855,"","","64"
"19",118.931707495621,118.931707495621,118.931707495621,231.779841792,231.779841792,231.779841792,1,0,1,62399.7016619949,93671.4011388565,83893.0243976204,"","","77"
"20",118.931805098663,118.931805098663,118.931805098663,247.637141265,247.637141265,247.637141265,1,0,1,268006.688636286,90236.6723078112,289133.830629667,"","","178"
"21",119.925363019991,119.925363019991,119.925363019991,254.18227475298,254.18227475298,254.18227475298,1,0,1,54782.7341176561,63637.7605462312,51594.2233986914,"","","383"
"22",119.925371726556,119.925371726556,119.925371726556,260.711130048,260.711130048,260.711130048,1,0,1,61722.4258246408,89494.7292041988,7499.32006505729,"","","424"
"23",119.925359408457,119.925359408457,119.925359408457,247.04304070602,247.04304070602,247.04304070602,1,0,1,101292.862678036,111014.159384483,87084.3339415855,"","","504"
"24",119.925232919344,119.925232919344,119.925232919344,239.89893679998,239.89893679998,239.89893679998,1,0,1,38640.9484508904,103401.096168532,51057.2686046962,"","","446"
"25",119.92526007045,119.92526007045,119.92526007045,231.18147404802,231.18147404802,231.18147404802,1,0,1,109461.591046044,147378.49144048,76134.5418002393,"","","247"
"26",120.03779372633,120.037754702836,120.037832749824,74.5221922460173,73.9628143310547,75.08157016098,2,1,1,41198.5926277729,48476.5675743507,52858.0316404563,"","","477"
"27",121.028446311914,121.028446311914,121.028446311914,249.958923339844,249.958923339844,249.958923339844,1,1,0,1498416.07181137,923017.248505195,547303.777662696,"[2][M]-","","20"
"28",121.028524067836,121.028524067836,121.028524067836,269.471923828125,269.471923828125,269.471923828125,1,1,0,857590.163853453,510874.171659071,166112.922825171,"","","78"
"29",122.047463510297,122.047434316024,122.047507226402,74.51730408102,73.3967819213867,74.5615081787109,3,1,2,192639.604185998,230984.326682089,209879.720929467,"[3][M]-","","93"
"30",122.03171275189,122.03171275189,122.03171275189,249.958923339844,249.958923339844,249.958923339844,1,1,0,64704.2411593297,39946.7731807769,21119.9675687447,"[2][M+1]-","","20"
"31",123.048389271487,123.048389271487,123.048389271487,74.5615081787109,74.5615081787109,74.5615081787109,1,0,1,16217.7453247458,79896.4425588399,92299.2563765848,"[3][M+1]-","","93"
"32",125.096216987983,125.096216987983,125.096216987983,324.07183508898,324.07183508898,324.07183508898,1,0,1,134674.468494526,107069.085235922,3742.80468126271,"","","381"
"33",126.904853879929,126.904839124653,126.904868635205,38.1102811320508,36.65597181,39.5645904541016,2,0,2,5007933.27198512,1904206.79861689,1480507.33066975,"","","399"
"34",126.985578384637,126.985577492042,126.985579277232,206.887061930896,206.337036132812,207.43708772898,2,0,2,62770.745420705,76812.8840471835,74773.1957107421,"","","55"
"35",128.95934730363,128.959260039813,128.959349795157,29.15574598398,29.0803260803223,29.1774349212646,3,1,2,567936.506476274,357818.985279043,425666.253695917,"","","3"
"36",130.016997242098,130.01697657976,130.017069896591,34.324004928,34.2283477783203,34.9782905578613,3,1,2,112581.121387251,76394.1593868939,60467.7249826684,"","","2"
"37",130.983464548417,130.96607983586,131.013418279344,26.28591222402,26.2336883544922,34.2283477783203,5,1,2,104491.893997582,9747382.41893742,1882626.82889517,"[4][M]-","[M-H]- 131.998","1"
"38",131.984267996568,131.98415038474,131.986652590745,26.28591222402,26.2336883544922,26.2863788604736,5,1,2,160859.747094931,163300.575416674,189401.217630016,"[4][M+1]-","","1"
"39",132.980892431821,132.922090612169,132.987538219531,26.2863788604736,26.28591222402,31.9345035552979,3,1,2,30390.3126742839,97631.650721484,206307.161834975,"[4][M+2]-","","260"
"40",133.014033039736,133.014033039736,133.014033039736,45.147532224,45.147532224,45.147532224,1,0,1,46765.8887571017,144272.713676458,251260.022198421,"","","124"
"41",134.060106035753,134.060106035753,134.060106035753,252.903594970703,252.903594970703,252.903594970703,1,1,0,177351.686085155,2317.28862702164,3076.01852416992,"","","23"
"42",134.864432721938,134.86442762559,134.864437818285,573.311645507812,571.255554199219,575.367736816406,2,1,0,652965.189678814,244570.863728785,232491.48784411,"","","176"
"43",134.864355659369,134.864355659369,134.864355659369,583.609680175781,583.609680175781,583.609680175781,1,1,0,241817.154273387,82778.1262234844,66772.1350845695,"","","201"
"44",134.987792654619,134.987734559306,134.987836359981,25.1456775665283,25.1053199768066,25.15160094402,3,1,2,5892235.34907812,4364807.48887729,4976077.0071866,"[5][M]-","","1"
"45",135.894598886303,135.894598886303,135.894598886303,32.5073394775391,32.5073394775391,32.5073394775391,1,1,0,117865.708548712,214721.827095114,215464.141602609,"","","2"
"46",135.991001767767,135.991001767767,135.991001767767,25.1456775665283,25.1456775665283,25.1456775665283,1,0,1,13899.3619400961,29764.3453646637,60592.9070383187,"[5][M+1]-","","1"
"47",136.891476112628,136.891466322304,136.891572424244,180.301025390625,173.907989501953,187.327362060547,4,1,0,89166.0772693534,118533.634874693,119433.599546935,"","","142"
"48",137.02330945031,137.023293300668,137.023325599952,232.221832275391,229.268402099609,235.175262451172,2,0,1,153039.198540787,72320.0867379885,129190.519604262,"","","458"
"49",137.023211659103,137.023211659103,137.023211659103,243.476181030273,243.476181030273,243.476181030273,1,0,1,39122.3621754597,29751.1169329286,65971.2761856151,"","","422"
"50",137.023202256798,137.023202256798,137.023202256798,255.948608398438,255.948608398438,255.948608398438,1,0,1,39068.6300439068,7412.00857349804,81087.6403656539,"","","411"
"51",137.891631822375,137.891631822375,137.891631822375,32.59354416,32.59354416,32.59354416,1,0,1,8273.85522886914,48985.2175999798,51713.4127894018,"","","287"
