"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP2125",401.926610352412,401.926147460938,401.92724609375,26.28591222402,24.00615312,28.00450273602,88548.8456678619,88545.4185110481,54700.07421875,54699,2,0
"CP2126",402.917129412277,402.9169921875,402.917175292969,26.28591222402,24.00615312,28.00450273602,12095881.1118281,12095877.6846713,8967542,8967541,2,0
"CP2127",403.918185369398,403.917907714844,403.918365478516,26.28591222402,24.00615312,28.00450273602,3434535.98549193,3434532.55833511,2380451,2380450,2,0
"CP2128",404.914523277988,404.914459228516,404.914581298828,26.28591222402,24.00615312,28.00450273602,3280821.68134448,3280818.25418766,2400519,2400518,2,0
"CP2132",410.89907604094,410.898864746094,410.899261474609,26.28591222402,24.58220516802,28.00450273602,284789.703310163,284786.851395523,284377.5,284376,2,0
"CP2133",416.903248425102,416.902740478516,416.903381347656,26.28591222402,24.58220516802,28.00450273602,102795.338713433,102792.486798793,57615.953125,57615,2,0
"CP2134",418.82943643347,418.829193115234,418.829620361328,26.28591222402,24.58220516802,28.00450273602,153987.169181456,153984.317266816,101595.453125,101594,2,0
"CP2135",418.893814868184,418.889038085938,418.895294189453,26.28591222402,23.41173568002,28.00450273602,3724421.58896451,3724417.57029333,2259773.53125,2259773,2,0
"CP2137",420.889845002864,420.888122558594,420.891479492188,26.28591222402,24.00615312,28.00450273602,688648.050630927,688644.623474113,470358.453125,470357,2,0
"CP2138",420.921650778875,420.920227050781,420.925201416016,25.72179448002,23.41173568002,28.00450273602,282040.761934554,282036.74326338,221838.421875,221837,2,0
"CP2139",421.887624264627,421.887420654297,421.888031005859,25.72179448002,24.00615312,28.00450273602,383736.45250619,383733.025349376,292176.59375,292176,2,0
"CP2140",422.887412753704,422.887023925781,422.887451171875,26.28591222402,24.58220516802,28.00450273602,295324.352364853,295321.500450213,182879.703125,182879,2,0
"CP2141",426.919253701848,426.916564941406,426.919586181641,26.28591222402,24.00615312,28.00450273602,314973.647974643,314970.22081783,239250.1875,239249,2,0
"CP2143",429.918792481874,429.917633056641,429.921966552734,26.28591222402,24.58220516802,28.00450273602,66949.6252743163,66946.7733596763,44622.2890625,44621,2,0
"CP2144",434.866310933003,434.865844726562,434.866973876953,26.28591222402,24.00615312,28.00450273602,1335477.49650121,1335474.0693444,925318.4375,925317,2,0
"CP2146",436.865219423012,436.86474609375,436.865661621094,26.28591222402,24.58220516802,28.00450273602,223912.271639638,223909.419724998,128750.0703125,128749,2,0
"CP2148",444.898025138242,444.897583007812,444.898254394531,26.28591222402,24.58220516802,28.00450273602,94073.227350282,94070.375435642,63482.2734375,63481,2,0
"CP2150",456.923932615487,456.923553466797,456.924743652344,26.28591222402,24.58220516802,28.00450273602,101545.184663537,101542.332748897,79977.46875,79976,2,0
"CP2151",457.925525700574,457.925079345703,457.925811767578,26.28591222402,25.15160094402,28.00450273602,30546.4953420476,30544.213020614,18616.01953125,18615,2,0
"CP2152",462.89635331202,462.894073486328,462.896453857422,25.72179448002,23.41173568002,28.00450273602,1222850.6679058,1222846.64923463,986921.0625,986920,2,0
"CP2153",466.89036289199,466.889739990234,466.892913818359,26.28591222402,24.58220516802,28.00450273602,91170.798172221,91167.946257581,68659.6328125,68659,2,0
"CP2154",470.904570450128,470.904296875,470.904754638672,26.854651584,24.00615312,28.00450273602,612247.995039427,612244.567882613,462771.6875,462771,2,0
"CP2155",471.905779222488,471.905639648438,471.906280517578,26.854651584,24.58220516802,28.00450273602,169636.016949399,169633.165034759,135841.828125,135841,2,0
"CP2156",472.902033419758,472.901458740234,472.902862548828,26.28591222402,24.58220516802,28.00450273602,155877.479476451,155874.627561812,97662.2265625,97661,2,0
"CP2157",472.925170175427,472.924774169922,472.925262451172,25.72179448002,24.00615312,28.00450273602,766918.12117363,766914.694016817,687830.8125,687830,2,0
"CP2158",482.867011908542,482.866058349609,482.870056152344,26.28591222402,24.58220516802,28.00450273602,59226.5769295344,59223.7250148944,33901.15234375,33900,2,0
"CP2159",486.882576565127,486.882141113281,486.8837890625,26.854651584,25.15160094402,28.00450273602,243518.599631996,243516.317310563,256533.234375,256532,2,0
"CP2160",488.902907487602,488.901916503906,488.903106689453,26.28591222402,24.58220516802,28.00450273602,431613.302400441,431610.450485801,351758.90625,351758,2,0
"CP2161",500.859971223385,500.859405517578,500.860229492188,26.28591222402,24.00615312,28.00450273602,1122333.89910258,1122330.47194576,836682.8125,836682,2,0
"CP2162",500.920107733173,500.919952392578,500.920349121094,25.72179448002,24.00615312,28.00450273602,1133450.57669573,1133447.14953891,976513.125,976512,2,0
"CP2164",503.857400392024,503.855194091797,503.858489990234,26.28591222402,24.58220516802,28.00450273602,54429.0627275141,54426.2108128741,32378.751953125,32378,2,0
"CP2165",514.905300691852,514.904479980469,514.906188964844,26.28591222402,24.00615312,28.00450273602,63771.0256839209,63767.5985271072,52149.9296875,52149,2,0
"CP2166",515.838040791591,515.837707519531,515.838623046875,26.28591222402,24.58220516802,28.00450273602,143541.112738402,143538.260823762,123451.65625,123451,2,0
"CP2168",517.898959555316,517.898315429688,517.899230957031,26.28591222402,24.58220516802,28.00450273602,1193148.56079846,1193145.70888382,984701.8125,984701,2,0
"CP2170",518.894657250731,518.894348144531,518.894775390625,26.28591222402,24.58220516802,28.00450273602,1069249.27488381,1069246.42296917,856421.5625,856421,2,0
"CP2171",523.851625715485,523.850341796875,523.855529785156,26.28591222402,25.15160094402,28.00450273602,57011.4505168906,57009.168195457,45342.01953125,45341,2,0
"CP2172",530.883257773573,530.882873535156,530.883422851562,26.854651584,25.15160094402,28.00450273602,50431.8794514122,50429.5971299786,34111.0859375,34110,2,0
"CP2174",533.877011745514,533.876220703125,533.877624511719,26.28591222402,24.58220516802,28.00450273602,470464.361816146,470461.509901506,308256.8125,308256,2,0
"CP2175",548.851075445861,548.847900390625,548.853454589844,26.28591222402,24.58220516802,28.00450273602,408462.831836842,408459.979922202,234865.25,234864,2,0
"CP2176",550.84676380964,550.846069335938,550.848266601562,26.28591222402,24.58220516802,28.00450273602,173041.321116649,173038.469202009,132313.59375,132313,2,0
"CP2177",568.846746697891,568.846069335938,568.847534179688,26.28591222402,25.15160094402,28.00450273602,75163.6672556241,75161.3849341905,53500.66015625,53500,2,0
