"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP0001",409.790373850383,409.789642333984,409.791015625,2.01018023490906,0.336810886859894,8.20624732971191,169554.858657385,169547.502074965,55514.44140625,55513,1,0
"CP0002",481.792323408291,481.792175292969,481.792388916016,2.01018023490906,0.336810886859894,8.20624732971191,269441.791466285,269434.434883865,104437.109375,104436,1,0
"CP0004",510.831104553178,510.830993652344,510.831237792969,2.60928058624268,0.336810886859894,9.88295936584473,343112.022947282,343102.415245507,53759.48046875,53758,1,0
"CP0005",622.706555245461,622.706481933594,622.706604003906,2.01018023490906,0.336810886859894,10.4420051574707,684886.874086338,684877.269623977,132838.390625,132837,1,0
"CP0006",502.797638913617,502.797546386719,502.797760009766,5.96458530426025,0.820414543151855,11.5600967407227,662184.9878507,662174.184053739,90578.8984375,90578,1,0
"CP0009",512.826449790478,512.826416015625,512.826477050781,2.60928058624268,0.336810886859894,13.7969198226929,2815664.87161097,2796427.26183647,423559.8125,112,1,0
"CP0011",444.838963669642,444.838745117188,444.839019775391,2.01018023490906,0.336810886859894,13.2365465164185,3468490.6962472,3468477.15579871,684371,684370,1,0
"CP0013",217.860732961654,217.860687255859,217.860778808594,2.01018023490906,0.336810886859894,4.84596300125122,113590.953632352,113585.842841593,38642.27734375,38641,1,0
"CP0014",217.860967095719,217.860610961914,217.861251831055,21.1199398040771,18.878942489624,22.8046779632568,54682.2069820783,54678.2714651023,18649.611328125,18649,1,0
"CP0015",217.860741607998,217.860656738281,217.860855102539,6.52391910552979,4.84596300125122,9.32384777069092,74347.4098243236,74342.3440578985,18704.470703125,18703,1,0
"CP0016",217.861194462182,217.861129760742,217.861236572266,14.3564777374268,12.6777334213257,19.9995784759521,113316.408353868,113308.496479385,18736.88671875,18736,1,0
"CP0017",404.846450628061,404.846160888672,404.846496582031,2.01018023490906,0.336810886859894,15.4751815795898,5329018.94563704,5319655.88320687,1291919.5,403,1,0
"CP0018",472.833891348356,472.833709716797,472.833953857422,2.01018023490906,0.336810886859894,14.9159822463989,3980745.30585306,3980730.07970376,730067.75,730067,1,0
"CP0020",326.903425004439,326.903289794922,326.903472900391,2.01018023490906,0.336810886859894,14.9159822463989,8219866.25504072,8142468.60939026,1091858.125,110,1,0
"CP0021",453.786583981681,453.786315917969,453.786682128906,2.01018023490906,0.336810886859894,11.0010061264038,1530418.09948728,1525942.63525356,304331.03125,253,1,0
"CP0022",309.90112042898,309.901062011719,309.901184082031,14.3564777374268,11.0010061264038,17.758903503418,467919.4824547,466263.694887549,142977.328125,131,1,0
"CP0024",217.865603033318,217.86555480957,217.865646362305,13.7969198226929,7.08275508880615,16.6377773284912,992061.254099378,992051.092376972,141349.75,141349,1,0
"CP0035",140.953935511827,140.953887939453,140.954010009766,23.9813957214355,22.8046779632568,25.6732368469238,42415.0287859624,42412.7296146472,30860.796875,30860,1,0
"CP0037",212.938603296967,212.938552856445,212.938674926758,23.9813957214355,21.683464050293,25.6732368469238,127569.591186527,127193.282586198,80944.8125,165,1,0
"CP0038",232.897729705437,232.897689819336,232.897857666016,23.9813957214355,22.2437877655029,25.6732368469238,251120.105502993,250670.905427846,163005.75,232,1,0
"CP0039",236.936485083677,236.93635559082,236.9365234375,23.9813957214355,22.2437877655029,25.6732368469238,152851.945444508,152849.082048482,93872.7890625,93872,1,0
