"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_13","mtab_webber_cuba_lumos_062018_uplc_14","mtab_webber_cuba_lumos_062018_uplc_15","mtab_webber_cuba_lumos_062018_uplc_19","mtab_webber_cuba_lumos_062018_uplc_26","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"1",102.988511986642,102.956570440809,102.988549429295,26.3398609161377,26.1876220703125,30.1618537902832,11,3,5,1241377.95899164,1322674.73492314,990390.497463134,1319080.38778093,1200525.71398729,1002566.1745886,1260839.31025935,195646.250571816,"[1][M]-","[M-2H+Na]- 82.016","1"
"2",102.932111280328,102.931854399241,102.932362070772,305.562591552734,302.571441650391,308.270660400391,3,1,1,1338850.11730075,1032589.40793494,1077280.5015478,981285.324876138,1004416.97332586,937310.813761409,956339.106968164,1009172.44952819,"","","54"
"3",102.931926930097,102.931873029518,102.931980830676,314.746643066406,314.158874511719,315.334411621094,2,1,1,505901.049844172,392987.033277551,436768.741415919,393103.863610279,347065.657562256,390796.504706144,402404.111575921,389132.175338268,"","","147"
"4",102.931881635982,102.93185952832,102.932071454445,286.163909912109,283.257781982422,292.661437988281,3,1,1,865225.83951277,576205.658715929,506956.285930412,595607.06776403,529212.390446084,563705.388202327,551928.230684996,526663.145148788,"","","752"
"5",102.93215763905,102.932151272284,102.947844528624,255.567352294922,251.511520385742,259.695159912109,3,2,0,766646.539727335,564555.651326478,584511.285674075,555496.105575661,650800.591139495,179200.495545275,315411.690014005,643438.764656484,"","","563"
"6",102.931887236696,102.931887236696,102.931887236696,273.852508544922,273.852508544922,273.852508544922,1,0,1,443175.417954349,441159.571938658,507820.966761245,397786.342631345,452517.440013885,435722.581579685,446895.636559916,408757.771142912,"","","142"
"7",102.931561142775,102.931561142775,102.931561142775,591.784118652344,591.784118652344,591.784118652344,1,1,0,79175.2495939954,1000.19931896776,66922.946983998,26126.5174301131,24540.6932085504,20391.9927784701,5456.27989674111,17916.0823001787,"","","335"
"8",102.94793880699,102.94793880699,102.94793880699,231.31787109375,231.31787109375,231.31787109375,1,1,0,158299.721488025,247522.597433693,318513.197597271,328070.878789768,1568480.94692968,238250.585304901,23826.1628884748,50618.3982343555,"","","505"
"9",102.955869167578,102.955869167578,102.955869167578,572.733520507812,572.733520507812,572.733520507812,1,0,1,62837.08625938,72594.8895854801,66689.5351077169,59283.2271048576,17606.5578273982,68247.2079794407,87128.9134574682,73298.3896050964,"","","223"
"10",102.931892398967,102.931892398967,102.931892398967,351.291046142578,351.291046142578,351.291046142578,1,0,1,305444.822194576,321645.164086563,351705.253150954,284184.041685047,300490.318374906,283603.779703617,262918.845563446,269557.189573322,"","","180"
"11",102.931905979267,102.931905979267,102.931905979267,475.599456787109,475.599456787109,475.599456787109,1,0,1,139214.797778924,127980.398163279,157795.561729343,152480.015094314,132696.267006,100400.551667333,107714.960516453,109398.12836961,"","","20"
"12",102.932121748165,102.932121748165,102.932121748165,435.864105224609,435.864105224609,435.864105224609,1,1,0,162357.436891316,116239.533401215,114202.068024778,112652.779858843,110901.856548142,108310.322665572,122397.296774757,115292.900620937,"","","86"
"13",103.989302390235,103.989278450146,103.989340152072,26.2961514339917,26.1876220703125,26.3441963195801,6,3,3,140935.858123565,163616.783282438,116857.723066813,142976.181977667,147799.575198881,126376.126793238,134637.323522101,4718.69120046307,"[1][M+1]-","","1"
"14",105.016983300021,105.016917455744,105.019012384972,34.3919067382812,34.1702651977539,38.5362739562988,7,2,4,94021.7796600596,59125.3439750671,66449.4759724948,85305.0162375208,71468.6174134109,103442.6671335,63338.7903219957,70832.9756770093,"","[M-H]- 106.024","2"
"15",104.986048351338,104.985922280364,104.986059373383,26.295055935,26.1876220703125,26.3863639831543,5,2,3,171768.599922036,203769.290907909,141087.106911756,183446.978981872,188509.305556548,177158.837482499,196818.886742025,27843.9123334637,"[1][M+2]-","","1"
"16",106.992829681203,106.992761785191,106.992864291478,25.1719970703125,25.0609855651855,25.7747058868408,8,3,5,702631.687737737,599309.655661808,486392.285825767,611119.759134874,687988.584558671,631122.532818353,508841.521905989,526488.962730706,"","","1"
